Seminar #,date,Presenter,Title,Affiliation,flyer,video
1,14-Oct-21,Adarsh Krishnamurthy ,Data-Driven Computational Modeling for Cardiovascular Mechanics,"Mechanical engineering department, Iowa State University ",TrAC_Adarsh_10142021.pdf,https://www.youtube-nocookie.com/embed/IFYPoIhoLi8
2,21-Oct-21,James E Koltes,"Development of Genetics, Genomics and Phenomics tools to enhance dairy cattle sustainability","Department of Animal Science, Iowa State University ",TrAC_Koltes_10212021.pdf,
3,28-Oct-21,Iddo Friedberg,What can an AI competition do for you?,"Department of Veterinary Microbiology and Preventive Medicine,  Iowa State University ",TrAC_Iddo_10282021.pdf,
4,4-Nov-21,Tichakorn (Nok)  Wongpiromsarn,Establishing correctness of learning-enabled autonomous systems,"Department of Computer Science,  Iowa State University",TrAC_Nok_11042021.pdf,https://www.youtube-nocookie.com/embed/6TuYDQONo1g
5,11-Nov-21,Julie Dickerson,Machine Learning for Biological Networks,"Electrical and Computer Engineering, Iowa State University",TrAC_Julie_11112021.pdf,
6,18-Nov-21,Aditya Ramamoorthy,Straggler Mitigation in Large Scale Distributed Matrix Computation,"Electrical and Computer Engineering, Iowa State University",TrAC_Aditya_11182021.pdf,https://www.youtube-nocookie.com/embed/eLB0sLLBaso
7,28-Jan-22,Oliver Kroemer,Structuring Manipulation Tasks for More Efficient Learning,Carnegie Mellon University (CMU) Robotics Institute,TrAC_Oliver_01282022.pdf,https://www.youtube-nocookie.com/embed/fpa6jo2ci7A
8,4-Feb-22,Hailiang Liu,Mathematical Problems in Deep Learning,"Department of Mathematics, Iowa State University",TrAC_Hailiang_02042022.pdf,https://www.youtube-nocookie.com/embed/Yk34D_PEpCo
9,11-Feb-22,Jue Yan,Cell-average based neural network fast solvers for time dependent partial differential equations,"Department of Mathematics, Iowa State University",TrAC_Jue_02112022.pdf,https://www.youtube-nocookie.com/embed/qhXcznVe_U8
10,18-Feb-22,Shana Moothedath,A Game and Control Framework for Modeling and Mitigating Advanced Persistent Threats on Cyber-Physical Systems,"Electrical and Computer Engineering, Iowa State University",TrAC_Shana_02182022.pdf,https://www.youtube-nocookie.com/embed/TjvD8ylGNJk
11,25-Feb-22,Mark Ryan,Ethical and Societal Considerations for the Development and Use of Agricultural Robots,Wageningen Economic Research,TrAC_Ryan_02252022.pdf,https://www.youtube-nocookie.com/embed/jUM0clB72Ao
12,4-Mar-22, Cody Fleming,Towards Autonomous Systems That Leverage First Principles and Black Boxes,"Department of Mechanical Engineering, Iowa State University",TrAC_Cody_03042022.pdf,https://www.youtube-nocookie.com/embed/g7eOsd3nvAU
13,11-Mar-22, Alicia Carriquiry, Machine Learning in Forensic Applications,"Department of Statistics, Iowa State University",TrAC_Alicia_03112022.pdf,https://www.youtube-nocookie.com/embed/yyOCqN_Tb8s
14,18-Mar-22, Spring Break, ,,,
15,25-Mar-22,Cancelled,,,,
16,1-Apr-22,Shayok Chakraborty,Learning with Weak Supervision: Algorithms and Applications,Florida State University,TrAC_Shayok_04012022.pdf,
17,8-Apr-22,Cancelled,,,,
18,15-Apr-22,Volkan Isler,From Surveying Farms to Tidying our Homes with Robots,University of Minnesota/Samsung Research,TrAC_Volkan_04152022.pdf,
19,22-Apr-22,TrAC SciML Workshop,,,,
20,29-Apr-22,Cancelled,,,,
